Item_ID,Item_Name,Category,Material_Type,Impact_Level,Environmental_Effects,Risk_Score,Emission_Impact_CO2e,Size_Category,Weight_grams,Volume_cm3,Cleanup_Difficulty,Recyclable,Biodegradable,Decomposition_Time,Disposal_Method,Non_Recoverable,Common_Location,Common_Source,Hazard_Type,Frequency_Score,Collection_Priority,Equipment_Needed
132,Creamer Containers,Food Packaging,Plastic,Medium,Single-serve packaging pollution,3,0.2,Small,3,12,Easy,No,No,300 years,Landfill,No,Picnic Areas,Food Service,Environmental,3,Medium,Gloves
133,Bottle Openers,Tools,Metal,Low,Metal corrosion minimal impact,2,1.5,Small,25,30,Easy,Yes,No,100 years,Scrap Metal,No,Picnic Areas,Consumer Waste,Environmental,2,Low,Gloves
134,Can Openers,Tools,Metal Plastic,Medium,Mixed materials and sharp edges,3,3.2,Small,85,150,Easy,Partial,No,100 years,Mixed Disposal,No,Picnic Areas,Consumer Waste,Wildlife,1,Medium,Gloves
135,Plastic Knives,Tools,Plastic,Medium,Sharp plastic implements,3,0.8,Small,8,25,Easy,No,No,300 years,Landfill,No,Picnic Areas,Various,Wildlife,3,Medium,Gloves
136,Scissors,Tools,Metal Plastic,High,Sharp cutting implements,4,5.2,Small,45,80,Easy,Partial,No,100 years,Mixed Disposal,No,Sand Surface,Various,Human Health,1,High,Safety Gloves
137,Multi-tools,Tools,Metal,Medium,Sharp metal implements,3,8.5,Small,120,100,Easy,Yes,No,100 years,Scrap Metal,No,Sand Surface,Various,Human Health,1,Medium,Gloves
138,Carabiners,Recreation,Metal,Low,Metal climbing hardware,2,2.1,Small,15,20,Easy,Yes,No,100 years,Scrap Metal,No,Rocky Areas,Recreation,Environmental,1,Low,Gloves
139,Tent Stakes,Recreation,Metal,Medium,Sharp metal camping equipment,3,1.8,Small,25,15,Medium,Yes,No,100 years,Scrap Metal,No,Sand Surface,Recreation,Human Health,1,Medium,Gloves
140,Tent Fabric,Recreation,Synthetic,Medium,Synthetic fabric pollution,3,12.5,Large,800,5000,Medium,No,No,500 years,Landfill,No,Beach Areas,Recreation,Environmental,1,Medium,Cutting Tools
141,Sleeping Bag Material,Recreation,Synthetic,Medium,Insulation and synthetic materials,3,25.8,Large,1500,8000,Medium,No,No,500 years,Landfill,No,Beach Areas,Recreation,Environmental,1,Medium,Cutting Tools
142,Camping Chairs,Recreation,Metal Fabric,Medium,Mixed materials outdoor furniture,3,35.2,Large,2800,15000,Hard,Partial,Partial,50 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Tools
143,Folding Tables,Recreation,Metal Plastic,Medium,Outdoor furniture components,3,45.8,Large,5500,25000,Hard,Partial,No,100 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Tools
144,Camping Cookware,Recreation,Metal Plastic,Medium,Outdoor cooking equipment,3,15.2,Medium,350,800,Easy,Partial,No,100 years,Mixed Disposal,No,Picnic Areas,Recreation,Environmental,1,Medium,Gloves
145,Portable Grills,Recreation,Metal,Medium,Outdoor cooking equipment,3,85.2,Large,8500,20000,Hard,Yes,No,200 years,Scrap Metal,No,Beach Areas,Recreation,Environmental,1,Medium,Heavy Equipment
146,Propane Canisters,Recreation,Metal,High,Pressurized gas containers,4,25.8,Medium,400,500,Hard,Yes,No,200 years,Hazardous Waste,Yes,Beach Areas,Recreation,Environmental,1,High,Safety Equipment
147,Charcoal Bags,Recreation,Paper Plastic,Low,Charcoal packaging materials,2,1.2,Large,50,2000,Easy,Partial,Partial,6 months,Landfill,No,Beach Areas,Recreation,Environmental,2,Low,Gloves
148,Lighter Fluid Bottles,Recreation,Plastic,High,Flammable chemical contamination,4,5.2,Medium,125,350,Easy,No,No,450 years,Hazardous Waste,Yes,Beach Areas,Recreation,Environmental,1,High,Safety Equipment
149,Matches,Recreation,Wood Chemicals,Medium,Chemical ignition materials,3,0.5,Small,2,8,Easy,No,Partial,6 months,Landfill,No,Sand Surface,Recreation,Environmental,3,Medium,Gloves
150,Candles,Recreation,Wax Wick,Low,Natural wax generally biodegradable,2,2.8,Small,50,80,Easy,No,Yes,1 year,Compost,No,Sand Surface,Recreation,Environmental,2,Low,Gloves
151,Citronella Torches,Recreation,Metal Wax,Medium,Insect repellent chemicals,3,15.2,Large,800,1500,Medium,Partial,Partial,10 years,Mixed Disposal,Yes,Beach Areas,Recreation,Environmental,1,Medium,Tools
152,Insect Repellent Bottles,Personal Items,Plastic,Medium,Chemical contamination,3,2.5,Medium,85,250,Easy,Yes,No,450 years,Recycle Bin,Yes,Beach Areas,Personal Waste,Environmental,3,Medium,Gloves
153,Sunscreen Tubes,Personal Items,Plastic,Medium,Chemical contamination affects marine life,3,1.8,Small,45,120,Easy,Yes,No,450 years,Recycle Bin,Yes,Beach Areas,Personal Waste,Environmental,6,Medium,Gloves
154,Lip Balm Tubes,Personal Items,Plastic,Medium,Small plastic contamination,3,0.2,Small,3,8,Easy,No,No,400 years,Landfill,No,Sand Surface,Personal Waste,Environmental,4,Medium,Gloves
155,Deodorant Containers,Personal Items,Plastic Metal,Medium,Chemical residue contamination,3,3.8,Medium,125,200,Easy,Partial,No,400 years,Mixed Disposal,Yes,Beach Areas,Personal Waste,Environmental,2,Medium,Gloves
156,Perfume Bottles,Personal Items,Glass Plastic,Medium,Chemical contamination and glass fragments,3,5.2,Small,85,150,Medium,Partial,No,1000000 years,Mixed Disposal,Yes,Sand Surface,Personal Waste,Environmental,1,Medium,Safety Gloves
157,Makeup Containers,Personal Items,Plastic,Medium,Chemical contamination small containers,3,1.2,Small,15,40,Easy,Partial,No,400 years,Landfill,Yes,Sand Surface,Personal Waste,Environmental,3,Medium,Gloves
158,Nail Polish Bottles,Personal Items,Glass Plastic,High,Toxic chemical contamination,4,0.8,Small,12,25,Medium,No,No,1000000 years,Hazardous Waste,Yes,Sand Surface,Personal Waste,Environmental,1,High,Safety Gloves
159,Hair Spray Cans,Personal Items,Metal,Medium,Aerosol and chemical contamination,3,5.2,Medium,185,400,Medium,No,No,200 years,Hazardous Waste,Yes,Beach Areas,Personal Waste,Environmental,2,Medium,Safety Equipment
160,Shaving Cream Cans,Personal Items,Metal,Medium,Aerosol pressure and chemicals,3,4.5,Medium,165,380,Medium,No,No,200 years,Hazardous Waste,Yes,Beach Areas,Personal Waste,Environmental,1,Medium,Safety Equipment
161,Disposable Razors,Personal Items,Plastic Metal,High,Sharp blades and plastic pollution,4,0.8,Small,12,20,Hard,No,No,400 years,Hazardous Waste,Yes,Sand Surface,Personal Waste,Human Health,3,High,Safety Gloves
162,Electric Razors,Electronics,Metal Plastic,Medium,Electronic waste and batteries,3,15.2,Medium,250,400,Medium,Yes,No,100 years,E-Waste,Yes,Beach Areas,Personal Waste,Environmental,1,Medium,Gloves
163,Hair Dryers,Electronics,Plastic Metal,Medium,Electronic waste large appliance,3,45.8,Large,800,2000,Medium,Yes,No,100 years,E-Waste,Yes,Beach Areas,Personal Waste,Environmental,1,Medium,Gloves
164,Curling Irons,Electronics,Metal Plastic,Medium,Electronic heating elements,3,8.5,Medium,185,300,Easy,Partial,No,100 years,E-Waste,Yes,Beach Areas,Personal Waste,Environmental,1,Medium,Gloves
165,Phone Chargers,Electronics,Plastic Metal,Medium,Electronic waste and copper,3,2.8,Small,45,80,Easy,Yes,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,4,Medium,Gloves
166,Power Banks,Electronics,Plastic Metal,High,Lithium battery fire hazard,4,25.8,Medium,350,500,Medium,Yes,No,100 years,Hazardous Waste,Yes,Sand Surface,Consumer Waste,Environmental,3,High,Safety Equipment
167,Headphones,Electronics,Plastic Metal,Medium,Electronic waste and small parts,3,5.2,Small,125,200,Easy,Partial,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,3,Medium,Gloves
168,Earbuds,Electronics,Plastic Metal,Medium,Small electronic waste,3,0.8,Small,8,15,Easy,Partial,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Wildlife,5,Medium,Gloves
169,USB Cables,Electronics,Plastic Metal,Medium,Electronic waste and copper,3,1.8,Small,35,50,Easy,Yes,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,4,Medium,Gloves
170,Memory Cards,Electronics,Plastic Metal,Medium,Electronic components,3,0.2,Small,2,5,Easy,Partial,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,2,Medium,Gloves
171,Camera Batteries,Electronics,Mixed,Very High,Toxic battery chemicals,5,2.5,Small,25,20,Medium,Yes,No,100 years,Hazardous Waste,Yes,Sand Surface,Consumer Waste,Environmental,2,Very High,Safety Equipment
172,Alkaline Batteries,Electronics,Mixed,Very High,Toxic heavy metals,5,1.8,Small,18,15,Easy,Yes,No,100 years,Hazardous Waste,Yes,Sand Surface,Consumer Waste,Environmental,4,Very High,Safety Equipment
173,Lithium Batteries,Electronics,Mixed,Very High,Fire hazard and toxic metals,5,5.2,Small,45,25,Medium,Yes,No,100 years,Hazardous Waste,Yes,Sand Surface,Consumer Waste,Environmental,3,Very High,Safety Equipment
174,Remote Controls,Electronics,Plastic Metal,Medium,Electronic waste and batteries,3,8.5,Small,125,300,Easy,Partial,No,100 years,E-Waste,Yes,Beach Areas,Consumer Waste,Environmental,2,Medium,Gloves
175,Calculators,Electronics,Plastic Metal,Medium,Electronic waste small device,3,2.8,Small,65,150,Easy,Partial,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,1,Medium,Gloves
176,Digital Cameras,Electronics,Plastic Metal,Medium,Electronic waste complex device,3,25.8,Medium,285,500,Medium,Yes,No,100 years,E-Waste,Yes,Sand Surface,Consumer Waste,Environmental,2,Medium,Gloves
177,Action Cameras,Electronics,Plastic Metal,Medium,Waterproof electronic waste,3,15.2,Small,125,150,Easy,Yes,No,100 years,E-Waste,Yes,Beach Areas,Recreation,Environmental,2,Medium,Gloves
178,Fitness Trackers,Electronics,Plastic Metal,Medium,Wearable electronic waste,3,2.8,Small,35,50,Easy,Partial,No,100 years,E-Waste,Yes,Beach Areas,Personal Waste,Environmental,3,Medium,Gloves
179,Smart Watches,Electronics,Metal Plastic,Medium,Complex electronic waste,3,15.2,Small,85,100,Easy,Yes,No,100 years,E-Waste,Yes,Beach Areas,Personal Waste,Environmental,2,Medium,Gloves
180,Bluetooth Speakers,Electronics,Plastic Metal,Medium,Electronic waste and batteries,3,12.5,Medium,450,800,Easy,Yes,No,100 years,E-Waste,Yes,Beach Areas,Recreation,Environmental,3,Medium,Gloves
181,Portable Radios,Electronics,Plastic Metal,Medium,Electronic waste traditional device,3,18.5,Medium,650,1200,Easy,Yes,No,100 years,E-Waste,Yes,Beach Areas,Recreation,Environmental,1,Medium,Gloves
182,Walkie Talkies,Electronics,Plastic Metal,Medium,Communication device waste,3,8.5,Small,185,400,Easy,Yes,No,100 years,E-Waste,Yes,Beach Areas,Recreation,Environmental,1,Medium,Gloves
183,Binoculars,Recreation,Metal Plastic,Medium,Optical equipment waste,3,25.8,Medium,650,1000,Easy,Partial,No,200 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Gloves
184,Compasses,Recreation,Metal Plastic,Low,Navigation equipment minimal impact,2,1.8,Small,25,40,Easy,Partial,No,100 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Low,Gloves
185,Whistles,Recreation,Metal Plastic,Low,Safety equipment minimal impact,2,0.5,Small,8,15,Easy,Partial,No,100 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,2,Low,Gloves
186,Life Jackets,Safety Equipment,Foam Fabric,Medium,Foam insulation and synthetic fabric,3,35.2,Large,850,8000,Medium,No,No,500 years,Landfill,No,Water Edge,Safety,Environmental,2,Medium,Cutting Tools
187,Pool Noodles,Recreation,Foam,High,Foam pollution breaks into pieces,4,8.5,Large,125,5000,Easy,No,No,500 years,Landfill,Yes,Water Edge,Recreation,Environmental,3,High,Cutting Tools
188,Kickboards,Recreation,Foam,Medium,Foam swimming aid pollution,3,12.5,Large,350,8000,Easy,No,No,500 years,Landfill,No,Water Edge,Recreation,Environmental,2,Medium,Gloves
189,Swim Fins,Recreation,Rubber Plastic,Medium,Synthetic swimming equipment,3,15.2,Large,450,2000,Easy,No,No,500 years,Landfill,No,Water Edge,Recreation,Environmental,2,Medium,Gloves
190,Snorkels,Recreation,Plastic Rubber,Medium,Swimming equipment pollution,3,2.8,Medium,85,200,Easy,No,No,400 years,Landfill,No,Water Edge,Recreation,Environmental,2,Medium,Gloves
191,Diving Masks,Recreation,Silicone Plastic,Medium,Diving equipment synthetic materials,3,5.2,Medium,185,400,Easy,No,No,500 years,Landfill,No,Water Edge,Recreation,Environmental,2,Medium,Gloves
192,Wetsuits,Recreation,Neoprene,Medium,Synthetic rubber pollution,3,85.2,Large,2500,5000,Hard,No,No,500 years,Landfill,No,Water Edge,Recreation,Environmental,1,Medium,Cutting Tools
193,Surfboard Wax,Recreation,Wax Chemicals,Medium,Chemical surf wax contamination,3,0.8,Small,85,100,Medium,No,Partial,1 year,Landfill,No,Beach Areas,Recreation,Environmental,3,Medium,Scraping Tools
194,Surfboard Leashes,Recreation,Polyurethane,Medium,Synthetic cord pollution,3,2.8,Medium,125,400,Easy,No,No,500 years,Landfill,No,Water Edge,Recreation,Environmental,2,Medium,Cutting Tools
195,Beach Chairs,Recreation,Metal Fabric,Medium,Outdoor furniture mixed materials,3,45.8,Large,3500,25000,Hard,Partial,Partial,50 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,2,Medium,Tools
196,Beach Tents,Recreation,Fabric Metal,Medium,Synthetic shelter materials,3,25.8,Large,2800,15000,Medium,Partial,No,200 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Cutting Tools
197,Sand Anchors,Recreation,Metal Plastic,Medium,Beach equipment anchoring systems,3,8.5,Medium,285,500,Medium,Partial,No,100 years,Mixed Disposal,No,Sand Surface,Recreation,Environmental,1,Medium,Tools
198,Beach Carts,Recreation,Metal Plastic,Medium,Transport equipment mixed materials,3,125.8,Large,8500,50000,Hard,Partial,No,100 years,Mixed Disposal,No,Beach Areas,Recreation,Environmental,1,Medium,Heavy Equipment
199,Cooler Ice,Consumables,Water,Very Low,Melts into natural water,1,0,Various,1000,1000,Easy,No,Yes,Immediate,Natural,No,Cooler Areas,Recreation,Environmental,5,Very Low,None
200,Picnic Blankets,Recreation,Fabric,Medium,Synthetic fabric pollution,3,12.5,Large,650,8000,Easy,No,Partial,200 years,Landfill,No,Picnic Areas,Recreation,Environmental,3,Medium,Gloves
